Start Date,End Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Tag
01/20/2014 0:00:00,,To break off itself: The emergency to GAStech quarters the construction [modernizations],,"Modernization, 3:05 PM:  A police P2o has left the scene, but others remain to the external part to fix the construction while others are still in the construction.  There is much speculation approximately their activities, but the police has still to answer to our questions for information.",,Tethys News,,,
01/21/2014 0:00:00,,VOICES - a blog about what is important to the people,,"1153 - BREAKING NEWS Readers, this is correspondent Petrus Gerhard writing from an unknown location.  I was contacted a short time ago by members of the Protectors of Kronos social action movement to convey a very important message to the people of Kronos.  The POK was forced to go to great lengths to in order to communicate with you without hindrance from the government.  A representative contacted me and asked me to carry their message to you.  To protect my safety they picked me up from a public location, blindfolded me and drove me to a location that even I do not recognize.  Readers, the next post you read will be one of the most important you have ever read, or indeed, will ever read. 21 Jan 2014",,Homeland Illumination,,,
03/30/1995 0:00:00,,DRILLING TECHNIQUE BANNED IN TETHYS,,"CENTRUM, Tethys - GAStech International's Hyper Acidic Substrate Removal (HASR) has officially been banned by the Tethys government due to the high probability of water contamination.

GAStech developed the innovative drilling technique in 1974 proved quite successful for the extraction of gas, but the technique's environmental impact is deemed unacceptable by the Tethys government due to the high probability of water table contamination from waste products produced during the HASR process.",,The World,,,
03/15/1996 0:00:00,,The Gasvelden of the bending of Tiskele larger than first idea,,"ABILA, Kronos - a press communication of the ministry of inland country kondigde today to that the gasvelden of bending Tiskele could this way much such as 5 time larger than initially have been valued.  Then we, he said the office of Sarto of the minister, for comment we contacted were astonished by the results of the recent research of GAStech van Kromming Tiskele.  I mean, am this only giant for people of Kronos.  We have undertaken large improvement projects already different such as the port extension and the new hospital that we could not because of the taxes to do we of our foreign investments see.  This news insures almost we those same dividends for! decades might harvest to come

It is obvious that the plan of president Araullo's to tempt stipulating foreign investment moment in our history has been.  One hopes that they those this way shortsighted had been are themselves resist plan definitively to their meanings have come.  We will say what they too proud to be say: Thanks you, the President of M.",,The Truth,,,
09/25/2005 0:00:00,,ELODIS PROTESTS TURN TO RIOTS AND ARRESTS,,"ELODIS, Kronos - The Protectors of Kronos (POK) continue to protest against the Kronos Government and GAStech International alleging pollution, water contamination and a lack of a government response. Lately the protests have turned violent escalating into rioting largely directed at the Tiskele Bend site. After the recent rioting, government officials had no choice, but to round up the protesters and arrest them for trespassing.

Government spokesman Rufus Drymiau commented, ""These sort of violent actions by members of the Protectors of Kronos are counterproductive. We are working closely - the government and GAStech - to ensure that all environmental issues are resolved.""",,Central Bulletin,,,
03/14/1993 0:00:00,,The strikes of government treat international GAStech,,"ABILA, Kronos - President Araullo today announced the signature of an agreement between his government and GAStech Tethys-based international for the development of the gas layers of curve of Tiskele.  GAStech, under the control of Jr. visionary of Sten Sanjorge, was allotted exclusive lines to drill inside the fields of state-owned property after having agreed on the request of the government that 50% or more labor are citizens of Kronosian.  President Araullo hailed the limiting business of terminal like ""beginning of a new era for our large country, one era of occasion and fortune for all.""  Our sources with the ministry for the interior indicate to us that the tax of 50% taken on the new gas and oil exploration could pay above $1 billion in the revenue from taxes per annum.  This will make it possible the government to transform investments without precedent into the infrastructure, health, and education.",,Worldwise,,,
05/27/2002 0:00:00,,LEAF 2002 OF THE FACT OF THE PUBLIC HEALTH OF ELODIS,,"ELODIS, Kronos - the center of the health of the community of Elodis has published an update to the health for all the study made in 1998.  The effects of the hyperactive acid retirement of the substratum (HASR), a technique that perforates controversy continue to ravage the health of the residents of Elodis.  The report detailed soon will be fixed to the municipal Web site of Elodis.

I touch of light",,Daily Pegasus,,,
06/21/2012 0:00:00,,POK REMIND LEADER MARTYRED,,"ABILA, Kronos - in LEADERs of moving ceramics Wednesday of activist the group guards of Kronos homage paid to their cases LEADER, Elian Karel, who on 19 June 2009 whereas resistance worker is held in a prison Kronos assassination.

We collect us today to remind Elian Karel, Silvia Marek told rap assembly, much of which supported white candles in the honor of Karel.",,The Wrap,,,
11/15/1999 0:00:00,,Charity Funds Exhausted,,"We soon ran out of medicines and funds to support our aid teams and had to return home.""  While the global press reported over 2500 people were killed and 100,000 buildings were destroyed, local press reported people felt they were being properly cared for and declined relief aid.

The Global Emergency Disaster Organization report their members are doing all they can to get aid through to earthquake victims, but they need a huge injections of funds to do so.",,News Online Today,,,
01/20/2014 0:00:00,,VOICES - a blog approximately that what is important to people,,"2232 - There are relationships that the civil employees of the airport have confirmed the arrival of a classified jet from Tethys.  Several passengers have left in an attending limousine.  The reporter they have followed the limousine, that he has guided directly to the centers of the police of Abila. 20 gen. 2014",,Centrum Sentinel,,,
09/03/2013 0:00:00,,SANJORGE JR. THAT INTERNATIONALLY PUBLIC GASTECH TAKE,,"CENTER, Tethys - after 52 years of private it are, Sten Sanjorge, Jr. take of the aardgasexploratie and production the international public of bedrijfGAStech.

With an eye to even of a world player in the gasindustrie, Sanjorge still more, will Jr. in public company capital for further international extension and produce exploration.",,The Tulip,,,
03/19/2007 0:00:00,,Four people have died in a fiery road crash near Elodis,,"A nine-year old boy initially survived the crash and had been flown to Abila Children's Hospital, but was declared dead on arrival.

Police say they have a 25 year old truck driver in custody at the Elodis jail.",,News Online Today,,,
07/08/1996 0:00:00,,GASTECH SHIFTS FOCUS TO KRONOS,,"CENTRUM, Tethys - GAStech International has shifted its focus from Tethys to the small Mediterranean island of Kronos and the vast gas deposits beneath the ground.",,News Online Today,,,
04/06/2005 0:00:00,,POK PROTESTS END IN ARRESTS,,"ELODIS, Kronos - Fifteen members of the Protectors of Kronos (POK) activist organization were arrested by Kronos federal police yesterday following an dispute at the gates of the Tiskele Bend GAStech facility.  Swaying, the protesters sang well-known protest songs, including ""This is Our Land"", ""Songs of the Farmer"" and ""The Weavers of our Homeland""

When the federal police began arresting the POK protesters, they moved in an orderly fashion into the waiting police van, singing the entire time.",,All News Today,,,
01/20/2014 0:00:00,,To break off itself: The emergency to GAStech quarters the construction [modernizations],,"Modernization, 12:25 PM:  We have relationships not confirmed that the pictures of GAStech have still not arrived to the reception previewed to the capitol.  The reporter that they regard the reception to the relationship of the capitol that sees the president of GAStech and the CEO, Jr. of Sten Sanjorge, but they have not seen Ingrid Barranca, live-Current of the Ada, the Strum di Orhan, or Willem Vasco-Pais.",,Tethys News,,,
07/28/2011 0:00:00,,GOVERNMENT LABELS POK 'PUBLIC THREAT',,"ABILA, Kronos - The Kronos Government has labeled the Protectors of Kronos (POK) as a threat to the public. In a statement by government spokesman Rufus Drymiau the POK are described as ""justifiably a public threat due to violent demonstrations, opportunistic vandalism, and clashes with the police.""

A shop owner in the Siopa district, who declined to be named, responded to the government labeling the POK a public threat: ""I agree they are a public threat. Every time they come around they bring their signs and then they smash windows.",,Central Bulletin,,,
02/08/2013 0:00:00,,Abila Hospitals Seeing Influx of Designer Drug Users,,"The Emergency Department at Abila General Hospital in Kronos has been swamped in the last month by people suffering medical complications from designer drugs such as ""cotton candy"" and synthetic marijuana, a hospital official said. Citywide, several deaths have been attributed to ""Cotton Candy"" according to the Kronos National Poison Center.

Designer drugs are chemical compounds synthesized to resemble the active ingredient in often illegal drugs. Cotton candy mimics the drug khat, a stimulant. Manufacturers frequently change the designer drug's chemical composition and its name to stay one step ahead of authorities, Biance said.",,News Online Today,,,
01/20/2014 0:00:00,,"GASTECH EMPLOYEE INTERROGATED, RELEASED",,"ABILA, Kronos - For roughly 6 hours GAStech - Kronos employee Edvard Vann was interrogated by Kronos Police and Government officials before being released at 17:00 this evening. The apparent confusion stems from the similarity between his name and that of a Protector of Kronos member.

Vann, a security guard for GAStech, was furious, stating, ""I have nothing to do whatsoever with any members of the terrorist group POK. I was born here in Abila and I support my government and my president. Being accused and being interrogated for 6 hours as a terrorist POK member is one of the worst days of my life. With some 14 GAStech employees still unaccounted for, one cannot blame the police or the government for not leaving any stone unturned.",,Central Bulletin,,,
11/13/2013 0:00:00,,The protests of Kronos burst in violence,,"The journalist Shawn Pastorini says that the ""lack of respect"" fills of fuel the protests

<< to continue to read the principal history >>",,World Journal,,,
01/19/2014 0:00:00,,TO SATISFY THE SYSTEM FOR TOMORROW MORNING,,"ABILA, Kronos - with a meeting to fix tomorrow to 8, the recent initial public offer, and the CEO Sten Sanjorge, Jr in reporters of the city will be descendant in the headquarters of GAStech - of Kronos in droves with a pile of questions.

The post of Abila will send Haneson Ngohebo, ignited writer of the Blog scene, to blog alive the event with the hopes to obtain Sanjorge, the Jr and to group of its direction of GAStech - of Kronos to comment with respect to the IPO, to its recent falls of the wind, and to the plans of GAStech for Kronos.",,The Explainer,,,
01/19/2014 0:00:00,,A CELEBRATION OF UNFETTERED KLEPTOCRACY,,"ABILA, Kronos - Following the annual GAStech-Kronos corporate meeting GAStech executives and several high-ranking Kronos government officials will attend a soiree at the Kronos capital building to celebrate the unfettered kleptocracy that has kept Kronos public officials in mansions and luxury vehicles.

We at the Homeland Illumination look forward to hearing what President Kapelou II and CEO Sten Sanjorge Jr. have to say about how this unholy alliance has benefited the citizens of Kronos.",,Homeland Illumination,,,
08/31/2001 0:00:00,,Activists Disrupt Traffic Near Tiskele Bend Fields,,"ABILA, Kronos - Five young people were arrested yesterday for protesting near the entrance to the Tiskele Bend fields as they called for government action to address their environmental concerns about GAStech's operations at the site.  The protestors, members of the activist group ""Protectors of Kronos"", held signs reading: ""Drilling Poisoned Our Water"" and ""Remember Juliana"", referring to 10 year old Juliana Vann, who has become an icon for the Protectors of Kronos since her death in 1998.  The protestors were arrested after one young man threw his sign at a government vehicle, cracking its window and startling the occupants.  Police spokesman Adrien Carman said of the arrests, ""We decided to shut the protest down before the POK members escalated to further violence.  ""The people of Kronos have overwhelmingly been for the development of our natural resources and all have benefited from the resultant economic growth.",,International News,,,
01/20/2014 0:00:00,,VOICES - a blog approximately that what is important to people,,1025 - Up to now no test of smoke or fire has been marked.  The fire unit has to arrive hardly. 20 gen. 2014,,Centrum Sentinel,,,
06/20/2013 0:00:00,,"Annual POK Rally Ends in Riot, Again",,"ABILA, Kronos - POK members held their annual demonstration in Abila yesterday.  A larger than usual crowd gathered in front of the Capitol building, waving signs holding pictures of Elian Karel and Juliana Vann, who were painted as POK ""martyrs"".  The crowds chanted about government corruption and called for President Dorel Kapelou to step down.  Several protestors carried signs calling for an end to the ""exploitive Tethys corporate capitalism"" and alleging, ""GAStech poisoned our kids"".

Police and government security forces set up between the protestors and the Capitol building in a show of force, hoping to prevent the kind of chaos that occurred during last year's riot.  However, after several hours of chanting and speeches, tempers in the crowd flared and protestors rushed the police line.  The police forces were forced to use tear gas, pepper spray, water cannons, and rubber bullets to subdue the crowd and protect property.  In spite of their heroic efforts, the protestors managed to break some windows, damage several police vehicles, and injure three officers.",,Kronos Star,,,
01/17/2000 0:00:00,,GDP OF KRONOS IN THE ASCENT,,"AVILA, Kronos - the true gross internal product - the exit of merchandize and services produced by the work and the characteristic located in Kronos - increasing in an annual index of 5,4% in the fourth trimester of 1999, according to the estimation anticipated sent in the office of the economy.

This mark 5to year in a row with the positive growth of the GDP for the developing country. Most of this growth can be contributed to the relation between the government of Kronos and international GAStech.",,The General Post,,,
06/20/2012 0:00:00,,Abila police break up sit-in turned violent at the presidential manor,,"Traffic snarled around the city as Abilians struggle to get to work amid vandalism and looting

Early on Tuesday police stormed the front of the presidential mansion and the capital building, breaking up a sit in by the Protectors of Kronos.",,World Source,,,
01/20/2014 0:00:00,,ON SCENE BLOG,,MODERNIZATION 1255 - the calls to the hospitals of the Abila and the Morgue of the city have not covered the new information with nets.,,Modern Rubicon,,,
03/22/2001 0:00:00,,"TAX MEASURE DEFEATED, POK EFFORTS STALLED",,"Abila, Kronos - A measure to increase taxes on foreign oil and gas development proposed by Minister of Health Cesare Nespola was defeated by a wide margin last week in the General Assembly.

This defeat is a harsh blow to the Protectors of Kronos, an Elodis group that was counting on this funding to provide healthcare and environment cleanup of their drinking and irrigation water.",,Homeland Illumination,,,
04/09/2012 0:00:00,,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,,"ABILA, Kronos - Silvia Marek, leader of the Protectors of Kronos social action organization is appealing to the citizens of Kronos to join her for a day of peaceful protest tomorrow.  Marek asks all concerned citizens to join her to bring awareness to the problem of political corruption and favoritism pervasive in the offices of the government of Kronos.

""I'm calling for an end to the heinous corruption, the nepotism and the favoritism displayed by our elected officials.",,All News Today,,,
04/23/1997 0:00:00,,POSSIBLE CONTAMINATION IN ELODIS,,"ELODIS, Kronos - About 25 km West of Abila is the small rural township of Elodis, situated on the Tiskele River. Roughly 20 km upstream is the Tiskele Bend site operated by GAStech International on government-owned land. Townspeople claim the site is contaminating the land and water making their people sick.

In a statement the government of Kronos has denied that the Tiskele Bend site is the source of any contamination insisting that both ""natural gas and the drilling process are clean."" The statement continued, ""If our people are sick we will help them get well. That is the duty of government: to protect its people.""",,Central Bulletin,,,
02/18/1994 0:00:00,,"PROMINENT BUSINESS, CIVIC LEADER DIES AT 65",,"CENTRUM, Tethys - After four years of diminishing health following a major heart attack, Sten Sanjorge, Sr.

Sanjorge, Sr., 65, of Centrum, Tethys was President Emeritus of GAStech International having founded the company in 1961. In addition to his role at GAStech International was the chairman of the Centrum Chamber board of directors and member of the Centrum Children's Hospital Board of Trustees.",,Who What News,,,
01/20/2014 0:00:00,,DISAPPEARED CONFIRMED BY CONTROL FROM GASTECH,,"ABILA, Kronos - Miriam Avila, an administrative assistant at international GAStech, confirmed that the members of the control of GAStech in fact miss. One expected that arrives at the reception of government following the meeting of this morning to the registered offices of GAStech - of Kronos, but was never revealed the group.

Mrs. Avila denied that any employee of GAStech was removed. She also denied that they had simply jumped the city with their richness recently discovered.",,Athena Speaks,,,
01/20/2014 0:00:00,,ON THE SCENE BLOG,,"1947 UPDATE - From the Abila Police news conference: ""There are approximately fourteen individuals unaccounted for among the GAStech staff. It has not yet been determined if all of these individuals are in fact missing.""

Though it was confirmed that over a dozen individuals were unaccounted for, the Abila Police said that that does not mean they are necessarily missing. Nor does it mean that they have been abducted. At this point the case is under investigation and more information will be released as facts are learned.",,The Abila Post,,,
06/21/2009 0:00:00,,Protest Turns Violent in Abila,,"ABILA, Kronos - A rally of hundreds of protestors allied with the ""Protectors of Kronos"" movement turned to violence today as angry activists vented their displeasure on the innocent citizens of Abila after hearing the news of POK leader Elian Karel's death.

The POK assembly began peacefully enough with the usual chanted slogans and waving of protest signs, but then one young rabble-rouser grabbed a bullhorn and began inciting the crowd to violence.",,News Online Today,,,
01/20/2014 0:00:00,,TO WRAP TO THE TOP OF THE EVENTS WITH GASTECH,,"ABILA, Kronos - a long tended day of the contradictory reports/ratios and muddling information finished. What we know for certain that 14 employees of GAStech miss not only, but is removed as confirmed by a source of government of Kronos. Currently it is not very clear which disappeared them is and if they are citizens of Kronos de Tethys, as many employees of GAStech are Tethan.

There is motionless speculation concerning which was taken in kidnapping and if president de GAStech and Jr. of Sten St. George of PRESIDENT were the target, since international GAStech has to still submit a report/ratio with the speculation of pressure about the reasons for the kidnappers was due unrestrained to the recent news of the public call to the saving initial of GAStech only one month ago.",,Athena Speaks,,,
02/21/2009 0:00:00,,REGISTERED OFFICES OF GASTECH BLOCKED BY POK,,"ABILA, Kronos - a gathering of POK conceived to give the attention to the complaints of the environmental damage made more damage with their image. The gathering apart from international registered offices of GAStech had like consequence of the multiple arrests for the infringement.

Approximately two hundred people met in front of the signs of slogans and to undulate of song of building of GAStech which held the faces of the people who died allegedly because of the contamination of the environment.  Tens of the protestateurs were connected with the doors of the building in order to try to prevent employees of GAStech from going to work.",,Athena Speaks,,,
01/21/2014 0:00:00,,VOICES - a blog approximately that what is important to people,,"0715 - Welcome to continuous filling of the passing of several employs you of GAStech.  That what is known:  The police has announced that fourteen employ you of GAStech are disappeared a moment yesterday morning.  The civil employees from Tethys - corporative civil employees probable you of GAStech - the arrived late past night in a classified jet and have gone directly to the centers of the police of Abila.  A fire fire signaler has yesterday played morning to the centers of GAStech-Kronos approximately to the 10:15.  No fire has been identified, neither it was a bomb since taken of some means had marked.  Not there are the information on exactly who lacks. A news conference will be previewed soon. 21 gen. 2014",,Centrum Sentinel,,,
09/21/1993 0:00:00,,Left equipment to improve,,"ABILA, Kronos - the Minister of Interior Department Sarto today announced a sponsored business by government with the company of development of energy of Tethys GAStech international, to improve the port of Abila.  GAStech agreed to contribute $200 million towards the cost of the left levellings in exchange for the preferential site of their gas terminal to the new port and drew aside to couple fees during 100 years.  The Sarto minister declared the business left of expansion to be ""the first of many rewards to be collected by Kronos since we opened our large country with the foreign investment.""

In March, the government allotted to GAStech exclusive lines with the fields of state-owned property of curve of Tiskele, the largest little developed gas layer in Europe. The representatives of company of GAStech in Tethys stated that ""this left business was gain-gain for all two us and Kronos and is principal to carry out the full capacity of the fields of curve of Tiskele.""",,Worldwise,,,
01/20/2014 0:00:00,,VOICES - a blog about what is important to the people,,"1251 - The police who just arrived went immediately into GAStech headquarters.  At the same time the policemen that have been on site are now reconstructing the yellow tape perimeter.  Still no word on the location of the GAStech officials or the government, and no employees have left the buildings. 20 Jan 2014",,Homeland Illumination,,,
01/20/2014 0:00:00,,POK kidnaps to employees of GAStech,,"ABILA, Kronos - the protectors of Kronos (POK) suspect themselves to kidnap to up to fourteen employees of GAStech of their construction of the headquarters previous today.  The police of Abila quickly assured the remaining building and entrevistó with a used GAStech.  They asked an employee, Edvard Vann de Abila, for hours because it shares a name of family with several members known POK.  Vann denied the implication with the POK it demanded and it not to have no knowledge of the kidnapping.  The POK has not made any declaration with respect to the kidnapping.

Sent civil employees GAStech of its Department of the Interior in center, Tethys to help to clean to the handle the incident.  The application and the representatives of federal law of Tethyn of the ministry of Tethyn of outer subjects flew to Kronos and were escorted to the headquarters of the police of Abila.",,The Guide,,,
02/21/2009 0:00:00,,GASTECH HOOFDKWARTIER THAT POK ARE BLOCKED,,"ABILA, Kronos - a collection POK which is devised has caused to bring attention to requirements of environment damage more damage to their picture. The collection outside international hoofdkwartier GAStech resulted in multiple arrests for violating.

Approximately two hundred people collected themselves for the GAStech construction chanting slogans and the undulating signs which loved visages people that according to reports because of environment pollution have died.  Ten of protestors chained themselves to the doors of the bldg. in a attempt employees prevent GAStech will work.",,News Desk,,,
02/24/2013 0:00:00,,GAStech,,"It is the biggest company of Kronos, the third bigger company of the gas in the planet, and is years of fifty-three. In the past it has had a corrupt reputation like and environmentally harmful, but nowadays GAStech, the previous business of Tethys-only, is trying to gain the confidence of international investors. This form the part of its ambitions to extend its gas that provides with the beneficial business outside the Mediterranean region.

It is an ascending task, and there is no certainty that Gastech has the capacity to convince potential investors that it has repaired his ways, and it is rooted not more in the past echo-hostile.",,Everyday News,,,
01/19/2014 0:00:00,,A CELEBRATION OF RELEASED KLEPTOCRACY,,"ABILA, Kronos - to follow the annual executives of GAStech of meeting of the company of GAStech-Kronos and several civils servant of government of the high row of Kronos will deal with one evening with the capital building of Kronos to celebrate the released kleptocracy which maintained the civils servant public of Kronos in the manors and the vehicles of luxury.

Waiting with hearing which President Kapelou Jr. of Sten Sanjorge of II and PRESIDENT must say about the way in which this profane alliance profited the citizens from Kronos.",,The Orb,,,
06/23/2009 0:00:00,,Profile:  Elian Karel,,"<<deleted the image of Elian Karel speaking with a gathering in Abila>>

The voice of the protest for some, the demagog of popularist for others, guards of the Chief Elian Karel de Kronos became a gathering martyrdom and point for some; a figure of scorn and rabblerousing for others, and a political concern with the government of Kronosian, in one year filled by event, accentuated by its suspicious death Friday.",,World Journal,,,
01/20/2014 0:00:00,,VOICES - a blog approximately that what is important to people,,1744 - The means relationships are coming in how much a sure number of employ you of GAStech have been rob to you.  The identity of the passengers on the mystery jet that has left today more in advance payment from the airport of Abila remains disowned. 20 gen. 2014,,Centrum Sentinel,,,
02/22/2013 0:00:00,,GAStech,,"It is the biggest company in Kronos, the third largest gas company on the planet, and it is fifty-three years old. In the past it has had a reputation as corrupt and environmentally harmful, but nowadays GAStech, the former Tethys-only business, is trying to earn the trust of international investors. This forms part of its ambitions to expand its profitable business supplying gas outside of the Mediterranean region.

It is an uphill task, and there is no certainty that Gastech has the ability to convince potential investors it has mended its ways, and is no longer rooted in the eco-hostile past.",,International Times,,,
10/16/1997 0:00:00,,GOVERNMENT CITES 'MINOR' CONTAMINATION NEAR ELODIS,,"ABILA, Kronos - After continued complaints and appeals from the people of Elodis government officials acknowledge minor contamination in and around the rural township in a report on their investigation into the townspeople's health issues. However, the government report stops short of blaming GAStech International and its Tiskele Bend site 20 km upstream as the people of Elodis assert.

The government report cites no root cause or causes can be determined at this time with more research and investigations needed.",,Central Bulletin,,,
02/02/1993 0:00:00,,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,,"ABILA, Kronos - In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing cheap energy and building infrastructure.  Following the 86-14 vote last month the Minister of the Interior Tomas Sarto lauded the decision as ""landmark"" and ""bettering the people"".  The crafters of these revolutionary measures neglected to include a detailed plan about how this windfall would benefit everyday Kronosians.  When the first payment from these foreign company lands in the state coffers, how will these funds be dispersed?",,All News Today,,,
03/30/1995 0:00:00,,DRILLING TECHNIQUE BANNED IN TETHYS,,"CENTRUM, Tethys - GAStech International's Hyper Acidic Substrate Removal (HASR) has officially been banned by the Tethys government due to the high probability of water contamination.

GAStech developed the innovative drilling technique in 1974 proved quite successful for the extraction of gas, but the technique's environmental impact is deemed unacceptable by the Tethys government due to the high probability of water table contamination from waste products produced during the HASR process.",,Who What News,,,
03/20/1998 0:00:00,,"ELODIS, KRONOS:  A TOWN IN NEED, Part One",,"NOTE: This article is the first in a series, reprinted with permission from the Homeland Illumination.

This article is the first installment of a three-part series addressing the growing problem of one community's anguish, government malfeasance, and the alarming influence of multinational corporations on the country of Kronos.",,All News Today,,,
06/22/2009 0:00:00,,Profile:  Elian Karel,,"<<deleted image of Elian Karel speaking at a rally in Abila>>

Voice of protest for some, popularist demagogue for others, Protectors of Kronos leader Elian Karel became a martyr and a rallying point for some;",,News Online Today,,,
06/23/2012 0:00:00,,The question POK of Kapelou a troop of criminals,,"ABILA, Kronos - in a press communication today, called president Kapelou today POK a troop of criminals, criminals, and malcontents who pestilence to our peaceful manner of living. have become the comments of president Kapelou's come after a demonstration POK have been converted into babble on large scale in the government sector of the capital on Tuesday.  President Kapelou has requested raised police force patrols of the area Elodis and has said that all future demonstrations POK maximumpolitiekracht. will be met",,The Truth,,,
